上海环世物流（集团）有限公司,前端工程师,上海-杨浦区,03-31,1-1.5万/月
康存数据服务（上海）有限公司,Html5 Web前端开发,上海-宝山区,03-31,1-1.5万/月
湖北万维科技发展有限责任公司,高级IDC运维工程师,贵阳,03-31,0.8-1万/月
四川惠宜康科技有限公司,运维工程师,成都-高新区,03-31,6-9千/月
上海碳索能源环境服务有限公司,WEB前端开发工程师,上海-闵行区,03-31,1-2万/月
江西省天轴通讯有限公司,前端开发工程师,南昌,03-31,0.5-1万/月
微软（中国）有限公司,Support Engineer_HPC（高性能运算）,异地招聘,03-31,3-4万/月
瑞卡租车,高级运维开发工程师,广州-海珠区,03-31,1.8-3万/月
天津寰宇香谭网络科技有限公司,测试工程师,天津-南开区,03-31,7-8千/月
南京联成科技发展股份有限公司,c/c++开发工程师,南京,03-31,0.9-1.5万/月
大连星魅传媒有限公司,软件测试工程师,大连,03-31,4.5-6千/月
浙江孚宝智能科技有限公司,H5中级前端软件工程师,杭州-上城区,03-31,1-2万/月
武汉远创智达科技有限公司,软件测试工程师,武汉-东湖新技...,03-31,6-9千/月
云南创至互达网络科技有限公司,web前端（uni-app方向）,昆明-五华区,03-31,0.6-1万/月
卓越教育集团-互联网管理中心,前端架构师,广州-天河区,03-31,1.8-3.5万/月
博彦科技股份有限公司,Python开发工程师,北京,03-31,1-1.5万/月
广州小朴熊电子商务有限公司,PHP全栈研发工程师,广州-番禺区,03-31,1.2-2万/月
江苏润和软件股份有限公司,硬件测试,深圳,03-31,1-1.5万/月
武汉宁润软件信息技术有限公司,自动化测试工程师,武汉-东湖新技...,03-31,0.5-1.2万/月
奥拓思维（深圳）软件有限公司,web前端中高级工程师,深圳-南山区,03-31,1.2-3万/月
广州里工实业有限公司,嵌入式软件工程师,广州-白云区,03-31,6-8千/月
南京易充电动汽车服务有限公司,平台开发工程师,南京-栖霞区,03-31,1.3-2.3万/月
迪比信可信息技术服务（南京）有限公司,DevOps Specialist,南京-玄武区,03-31,20-30万/年
上海博奇汽车技术有限公司,Web前端开发工程师,上海-浦东新区,03-31,1-1.5万/月
雷神科技有限公司,运维开发工程师（深圳）,异地招聘,03-31,6-8千/月
青岛民航凯亚系统集成有限公司,高级数据库运维工程师,青岛-城阳区,03-31,18-30万/年
天津卓朗科技发展有限公司,微服务架构师,天津,03-31,1.5-3万/月
东莞市华美食品有限公司,网页设计师,东莞-茶山镇,03-31,4-7千/月
苏州犀牛网络科技有限公司,配置管理工程师,苏州,03-31,0.8-1万/月
上海太阳生物技术有限公司,git配置管理工程师/软件配置管理工程师,上海-闵行区,03-31,10-15万/年
中建八局第三建设有限公司,前端工程师,异地招聘,03-31,1.5-2万/月
杭州悠可化妆品有限公司,软件开发工程师,杭州,03-31,1.5-2万/月
上海美奥口腔门诊部有限公司,高级前端开发工程师,上海,03-31,1.5-2万/月
上海科箭软件科技有限公司,运维工程师,西安-雁塔区,03-31,0.7-1万/月
上海金桥信息股份有限公司,前端开发工程师（2020SC03）,上海,03-31,0.8-1万/月
凹凸出行,Node.js开发工程师,上海,03-31,1.5-2.5万/月
江苏金智教育信息股份有限公司,软件测试工程师,南京-江宁区,03-31,0.6-1.2万/月
西安大医集团股份有限公司,软件测试工程师,西安-未央区,03-31,0.6-1.2万/月
上海德拓信息技术股份有限公司,Hadoop研发工程师,南京-雨花台区,03-31,1.5-3万/月
南京迪塔维数据技术有限公司,软件测试工程师,南京,03-31,4.5-6千/月
思可教育投资开发（深圳）有限公司,软件开发工程师,深圳-南山区,03-31,2-2.5万/月
北京弈友围棋文化传播有限责任公司,系统工程师,北京-丰台区,03-31,2-3万/月
山西万物有声文化传媒有限公司,技术总监/项目经理,太原,03-31,0.8-1万/月
之江实验室,001网络管理专员（云平台运维工程师）,杭州,03-31,无
广州敏视数码科技有限公司,软件测试,广东省,03-31,无
天津康盛博通科技有限公司,中高级信息安全工程师,北京-西城区,03-31,1.3-1.8万/月
北京库客音乐股份有限公司,Web前端开发工程师,北京-朝阳区,03-31,1-2万/月
深圳英之泰教育科技有限公司,系统运维工程师,深圳-南山区,03-31,1-2万/月
南京坚卓软件科技有限公司,Web前端开发工程师,上海-杨浦区,03-31,1-2万/月
联合微电子中心有限责任公司,硅光子/三维集成PDK开发工程师,异地招聘,03-31,15-35万/年
广州软云计算机科技有限公司,网络运维工程师,异地招聘,03-31,3-6千/月
赫锐咨询（南京）有限公司,软件开发工程师,南京-浦口区,03-31,0.8-1.2万/月
杭州良田美地农业科技有限公司,前端开发工程师,杭州-余杭区,03-31,0.6-1.2万/月
信必优(深圳)信息技术有限公司,Golang 统招本科,深圳-南山区,03-31,1.2-1.8万/月
建信金融科技有限责任公司,JAVA开发工程师（广研事业群）（广州）,广州,03-31,无
戴尔（中国）有限公司,VxRail Software Engineer-QE-Campus,上海,03-31,无
亚马逊中国,研发中心软件开发工程师（上海）,上海,03-31,无
杭州中亚机械股份有限公司,前端开发工程师,杭州-拱墅区,03-31,1.5-2万/月
文思海辉技术有限公司Pactera Technology International Limited,自动化测试工程师(Automation Test Analyst),深圳,03-31,2-2.5万/月
深圳市爱游戏科技有限公司,资深运维主管,深圳-南山区,03-31,2.6-3.6万/月
天津融商科技有限公司,高级JAVA工程师,天津-南开区,03-31,1-2万/月
广州江楠鲜品科技有限公司,高级运维工程师,广州-白云区,03-31,1.5-2.5万/月
中邮消费金融有限公司,运行维护岗-安全运维,广州-天河区,03-31,1.5-3万/月
浙江诺诺网络科技有限公司,运维开发工程师,杭州,03-31,1.5-2.5万/月
上海邮乐网络技术有限公司,测试工程师,上海-浦东新区,03-31,1-1.5万/月
科讯嘉联信息技术有限公司,高级前端研发工程师,武汉-洪山区,03-31,1-2万/月
协同卫星通信（深圳）有限公司,NMS研发工程师,深圳-罗湖区,03-31,2.5-5万/月
径赢网络科技（上海）有限公司,首席技术官,上海-静安区,03-31,4-7万/月
